transaction_id,sender_id,receiver_id,amount,timestamp,is_fraud,type
TXN_9807,ACC_739,ACC_83,5002.7,2025-10-23 10:44:06.035618,1,TRANSFER
TXN_3689,ACC_301,ACC_408,29.72,2025-10-23 10:46:09.035618,0,TRANSFER
TXN_9211,ACC_776,ACC_992,33.54,2025-10-23 10:46:52.035618,0,TRANSFER
TXN_6659,ACC_747,ACC_193,13.99,2025-10-23 10:48:55.035618,0,TRANSFER
TXN_7457,ACC_583,ACC_299,20.37,2025-10-23 11:01:38.035618,0,TRANSFER
TXN_5950,ACC_604,ACC_828,5.62,2025-10-23 11:09:36.035618,0,TRANSFER
TXN_4924,ACC_789,ACC_378,9.57,2025-10-23 11:09:39.035618,0,TRANSFER
TXN_2615,ACC_26,ACC_525,29.54,2025-10-23 11:23:22.035618,0,TRANSFER
TXN_8247,ACC_608,ACC_921,6.75,2025-10-23 11:26:07.035618,0,TRANSFER
TXN_3558,ACC_513,ACC_657,26.22,2025-10-23 11:32:10.035618,0,TRANSFER
TXN_4423,ACC_811,ACC_120,21.41,2025-10-23 11:36:41.035618,0,TRANSFER
TXN_9094,ACC_84,ACC_544,128.8,2025-10-23 11:46:15.035618,0,TRANSFER
TXN_1839,ACC_447,ACC_526,22.61,2025-10-23 11:47:14.035618,0,TRANSFER
TXN_5810,ACC_505,ACC_724,10.2,2025-10-23 11:49:08.035618,0,TRANSFER
TXN_9155,ACC_117,ACC_839,4.8,2025-10-23 11:58:39.035618,0,TRANSFER
TXN_4487,ACC_99,ACC_6,4.52,2025-10-23 12:02:02.035618,0,TRANSFER
TXN_4137,ACC_295,ACC_280,4.89,2025-10-23 12:04:57.035618,0,TRANSFER
TXN_9304,ACC_542,ACC_735,16.16,2025-10-23 12:05:18.035618,0,TRANSFER
TXN_9237,ACC_589,ACC_848,37.97,2025-10-23 12:06:19.035618,0,TRANSFER
TXN_6079,ACC_743,ACC_228,6.2,2025-10-23 12:09:58.035618,0,TRANSFER
TXN_1751,ACC_131,ACC_284,8.67,2025-10-23 12:15:29.035618,0,TRANSFER
TXN_794,ACC_468,ACC_677,41.82,2025-10-23 12:17:35.035618,0,TRANSFER
TXN_5869,ACC_819,ACC_725,30.28,2025-10-23 12:19:31.035618,0,TRANSFER
TXN_4323,ACC_420,ACC_446,4.31,2025-10-23 12:19:33.035618,0,TRANSFER
TXN_5256,ACC_227,ACC_196,53.59,2025-10-23 12:24:32.035618,0,TRANSFER
TXN_134,ACC_448,ACC_529,31.92,2025-10-23 12:28:05.035618,0,TRANSFER
TXN_7606,ACC_990,ACC_680,10.92,2025-10-23 12:32:38.035618,0,TRANSFER
TXN_6130,ACC_563,ACC_533,13.93,2025-10-23 12:34:22.035618,0,TRANSFER
TXN_630,ACC_912,ACC_720,41.5,2025-10-23 12:40:00.035618,0,TRANSFER
TXN_1946,ACC_692,ACC_402,24.22,2025-10-23 12:40:21.035618,0,TRANSFER
TXN_6556,ACC_141,ACC_866,9.23,2025-10-23 12:51:00.035618,0,TRANSFER
TXN_619,ACC_335,ACC_607,9.97,2025-10-23 12:52:23.035618,0,TRANSFER
TXN_8625,ACC_297,ACC_476,20.63,2025-10-23 12:54:01.035618,0,TRANSFER
TXN_923,ACC_82,ACC_923,3.93,2025-10-23 13:03:31.035618,0,TRANSFER
TXN_3371,ACC_126,ACC_21,17.0,2025-10-23 13:16:45.035618,0,TRANSFER
TXN_3743,ACC_607,ACC_270,3.84,2025-10-23 13:21:50.035618,0,TRANSFER
TXN_1682,ACC_555,ACC_825,5.73,2025-10-23 13:22:58.035618,0,TRANSFER
TXN_4364,ACC_756,ACC_238,68.56,2025-10-23 13:29:51.035618,0,TRANSFER
TXN_6240,ACC_86,ACC_716,12.48,2025-10-23 13:31:10.035618,0,TRANSFER
TXN_2699,ACC_457,ACC_801,24.58,2025-10-23 13:33:15.035618,0,TRANSFER
TXN_3866,ACC_231,ACC_817,50.39,2025-10-23 13:33:57.035618,0,TRANSFER
TXN_9386,ACC_4,ACC_137,40.06,2025-10-23 13:38:00.035618,0,TRANSFER
TXN_3014,ACC_766,ACC_101,6.6,2025-10-23 13:38:09.035618,0,TRANSFER
TXN_8612,ACC_274,ACC_580,7.5,2025-10-23 13:52:00.035618,0,TRANSFER
TXN_9469,ACC_614,ACC_153,36.31,2025-10-23 13:59:09.035618,0,TRANSFER
TXN_7887,ACC_753,ACC_7,3.74,2025-10-23 14:02:59.035618,0,TRANSFER
TXN_9647,ACC_589,ACC_532,83.58,2025-10-23 14:13:54.035618,0,TRANSFER
TXN_8388,ACC_321,ACC_928,62.16,2025-10-23 14:19:56.035618,0,TRANSFER
TXN_4654,ACC_246,ACC_45,28.15,2025-10-23 14:37:10.035618,0,TRANSFER
TXN_2509,ACC_433,ACC_401,13.06,2025-10-23 15:05:29.035618,0,TRANSFER
TXN_3545,ACC_786,ACC_216,11.04,2025-10-23 15:06:07.035618,0,TRANSFER
TXN_265,ACC_334,ACC_8,12.25,2025-10-23 15:09:58.035618,0,TRANSFER
TXN_261,ACC_570,ACC_871,75.19,2025-10-23 15:17:56.035618,0,TRANSFER
TXN_7753,ACC_879,ACC_878,96.2,2025-10-23 15:19:28.035618,0,TRANSFER
